trace,fixture,config,waste,data_refs,gate_lookups,gate_admits,admit_rate,selector_lookups,selector_updates,pooled_updates,selector_lookups_per_ref,inserts,evictions,action_rate,strict_cov,strict_net_per_1k,ns_per_ref
tsort,coarse,coarse/conditional-w4.00,4.000,3960537,3960537,807892,0.203985,4847352,4847352,23763159,1.2239,139695,0,0.004609,0.070206,-7.640,190.29
tsort,coarse,coarse/cond-random-w4.00,4.000,3960537,3960537,801323,0.202327,801323,4807938,23763159,0.2023,139695,0,0.002367,0.000380,-9.410,179.94
tsort,coarse,coarse/pooled-w4.00,4.000,3960537,3960537,777718,0.196367,0,0,23763159,0.0000,35949,0,0.004222,0.001160,-16.710,153.23
tsort,coarse,coarse/best-ev-w4.00,4.000,3960537,0,0,0.000000,0,0,0,0.0000,215694,0,0.015267,0.073932,-49.702,263.74
tsort,h32,h32/conditional-w4.00,4.000,3960537,3960537,808335,0.204097,25866720,25866720,126736656,6.5311,593996,1,0.004609,0.070206,-7.642,600.77
tsort,h32,h32/cond-random-w4.00,4.000,3960537,3960537,802354,0.202587,802354,25675328,126736656,0.2026,593996,1,0.002378,0.000400,-9.452,513.57
tsort,h32,h32/pooled-w4.00,4.000,3960537,3960537,787230,0.198769,0,0,126736656,0.0000,35949,0,0.004014,0.001334,-15.849,336.34
tsort,h32,h32/best-ev-w4.00,4.000,3960537,0,0,0.000000,0,0,0,0.0000,1150224,153,0.047914,0.080695,-179.248,1355.90
xz,coarse,coarse/conditional-w0.05,0.050,4466693,4466693,1102769,0.246887,6616614,6616603,26800095,1.4813,194226,0,0.043872,0.013382,-2.031,246.09
xz,coarse,coarse/cond-random-w0.05,0.050,4466693,4466693,1094822,0.245108,1094822,6568921,26800095,0.2451,194226,0,0.044059,0.011019,-2.069,240.06
xz,coarse,coarse/pooled-w0.05,0.050,4466693,4466693,1083845,0.242650,0,0,26800095,0.0000,46368,0,0.050565,0.012466,-2.376,189.41
xz,coarse,coarse/best-ev-w0.05,0.050,4466693,0,0,0.000000,0,0,0,0.0000,278208,0,0.165808,0.015528,-8.101,326.36
xz,h32,h32/conditional-w0.05,0.050,4466693,4466693,1117728,0.250236,35767296,35767194,142933648,8.0076,842164,14,0.043525,0.014491,-2.000,826.87
xz,h32,h32/cond-random-w0.05,0.050,4466693,4466693,1108215,0.248106,1108215,35462778,142933648,0.2481,842164,14,0.043735,0.010561,-2.058,717.48
xz,h32,h32/pooled-w0.05,0.050,4466693,4466693,1189598,0.266326,0,0,142933648,0.0000,46368,0,0.046376,0.012683,-2.164,372.42
xz,h32,h32/best-ev-w0.05,0.050,4466693,0,0,0.000000,0,0,0,0.0000,1482944,897,0.326425,0.017650,-16.106,1977.06
xz,coarse,coarse/conditional-w0.25,0.250,4466693,4466693,964700,0.215976,5788200,5788198,26800095,1.2959,194226,0,0.014381,0.012369,-3.416,227.09
xz,coarse,coarse/cond-random-w0.25,0.250,4466693,4466693,965626,0.216184,965626,5793754,26800095,0.2162,194226,0,0.014370,0.010151,-3.445,216.76
xz,coarse,coarse/pooled-w0.25,0.250,4466693,4466693,936037,0.209559,0,0,26800095,0.0000,46368,0,0.018441,0.012466,-4.430,180.53
xz,coarse,coarse/best-ev-w0.25,0.250,4466693,0,0,0.000000,0,0,0,0.0000,278208,0,0.068907,0.014226,-17.020,306.87
xz,h32,h32/conditional-w0.25,0.250,4466693,4466693,964735,0.215984,30871520,30871496,142933648,6.9115,842164,14,0.014395,0.012587,-3.416,702.40
xz,h32,h32/cond-random-w0.25,0.250,4466693,4466693,969830,0.217125,969830,31034536,142933648,0.2171,842164,14,0.014388,0.009862,-3.454,613.67
xz,h32,h32/pooled-w0.25,0.250,4466693,4466693,977234,0.218782,0,0,142933648,0.0000,46368,0,0.017482,0.012152,-4.194,357.69
xz,h32,h32/best-ev-w0.25,0.250,4466693,0,0,0.000000,0,0,0,0.0000,1482944,897,0.196537,0.016734,-48.891,1665.45
xz,coarse,coarse/conditional-w1.00,1.000,4466693,4466693,919530,0.205864,5517180,5517180,26800095,1.2352,194226,0,0.003826,0.005546,-3.697,220.61
xz,coarse,coarse/cond-random-w1.00,1.000,4466693,4466693,921961,0.206408,921961,5531766,26800095,0.2064,194226,0,0.003913,0.009548,-3.691,221.21
xz,coarse,coarse/pooled-w1.00,1.000,4466693,4466693,878460,0.196669,0,0,26800095,0.0000,46368,0,0.005472,0.012466,-5.183,183.70
xz,coarse,coarse/best-ev-w1.00,1.000,4466693,0,0,0.000000,0,0,0,0.0000,278208,0,0.021546,0.012587,-21.254,321.86
xz,h32,h32/conditional-w1.00,1.000,4466693,4466693,920314,0.206039,29450048,29450048,142933648,6.5933,842164,14,0.003827,0.005546,-3.698,718.41
xz,h32,h32/cond-random-w1.00,1.000,4466693,4466693,923438,0.206739,923438,29550016,142933648,0.2067,842164,14,0.003897,0.007234,-3.729,575.75
xz,h32,h32/pooled-w1.00,1.000,4466693,4466693,889983,0.199249,0,0,142933648,0.0000,46368,0,0.005330,0.012128,-5.049,362.66
xz,h32,h32/best-ev-w1.00,1.000,4466693,0,0,0.000000,0,0,0,0.0000,1482944,897,0.083949,0.014515,-83.612,1661.57
xz,coarse,coarse/conditional-w4.00,4.000,4466693,4466693,919527,0.205863,5517162,5517162,26800095,1.2352,194226,0,0.003825,0.005546,-14.978,224.10
xz,coarse,coarse/cond-random-w4.00,4.000,4466693,4466693,921731,0.206356,921731,5530386,26800095,0.2064,194226,0,0.003884,0.007258,-15.114,209.58
xz,coarse,coarse/pooled-w4.00,4.000,4466693,4466693,878460,0.196669,0,0,26800095,0.0000,46368,0,0.005472,0.012466,-21.166,178.23
xz,coarse,coarse/best-ev-w4.00,4.000,4466693,0,0,0.000000,0,0,0,0.0000,278208,0,0.021535,0.012080,-85.440,298.97
xz,h32,h32/conditional-w4.00,4.000,4466693,4466693,920311,0.206039,29449952,29449952,142933648,6.5932,842164,14,0.003826,0.005546,-14.983,684.17
xz,h32,h32/cond-random-w4.00,4.000,4466693,4466693,922695,0.206572,922695,29526240,142933648,0.2066,842164,14,0.003840,0.002942,-15.187,587.30
xz,h32,h32/pooled-w4.00,4.000,4466693,4466693,889983,0.199249,0,0,142933648,0.0000,46368,0,0.005330,0.012128,-20.617,356.79
xz,h32,h32/best-ev-w4.00,4.000,4466693,0,0,0.000000,0,0,0,0.0000,1482944,897,0.083945,0.014323,-334.949,1639.16
