trace,fixture,config,waste,h,issued,useful,useful_miss,share_issued,share_useful_miss,total_issued,total_useful_miss,scored_misses
awkhash,h16,h16/best-ev-w0.25,0.250,11,13272,7812,42,0.058810,0.025594,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,12,13016,7858,5,0.057676,0.003047,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,13,13701,8467,267,0.060711,0.162706,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,14,12736,7783,4,0.056435,0.002438,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,15,12589,7658,3,0.055784,0.001828,225674,1641,56090
awkhash,h16,h16/best-ev-w0.25,0.250,16,12485,7424,26,0.055323,0.015844,225674,1641,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,1,58643,42796,58,0.063892,0.055081,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,2,57676,39645,58,0.062839,0.055081,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,3,55875,34710,61,0.060876,0.057930,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,4,55048,34615,80,0.059975,0.075973,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,5,54445,32663,82,0.059318,0.077873,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,6,55158,35069,81,0.060095,0.076923,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,7,55428,35165,56,0.060389,0.053181,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,8,55894,36120,49,0.060897,0.046534,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,9,56246,35147,44,0.061281,0.041785,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,10,57253,37915,117,0.062378,0.111111,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,11,57671,36470,50,0.062833,0.047483,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,12,58228,37832,40,0.063440,0.037987,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,13,58854,39230,121,0.064122,0.114910,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,14,60129,39535,46,0.065511,0.043685,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,15,60168,39071,61,0.065554,0.057930,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.01,0.010,16,61126,39191,49,0.066598,0.046534,917842,1053,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,1,47916,34838,53,0.063540,0.053213,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,2,47483,32245,58,0.062966,0.058233,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,3,46072,28334,60,0.061095,0.060241,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,4,45572,28371,70,0.060432,0.070281,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,5,44989,26831,77,0.059658,0.077309,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,6,45326,28543,62,0.060105,0.062249,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,7,45704,28927,51,0.060607,0.051205,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,8,46130,29525,48,0.061171,0.048193,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,9,46192,28662,41,0.061254,0.041165,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,10,47175,31031,117,0.062557,0.117470,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,11,47395,29644,49,0.062849,0.049197,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,12,47837,30752,39,0.063435,0.039157,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,13,48201,31949,120,0.063918,0.120482,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,14,49233,32049,45,0.065286,0.045181,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,15,49035,31548,59,0.065024,0.059237,754110,996,56090
awkhash,h16,h16/uniform-random-w0.02,0.020,16,49850,31613,47,0.066104,0.047189,754110,996,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,1,33290,24031,52,0.063246,0.055260,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,2,33042,21992,50,0.062775,0.053135,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,3,32207,19456,55,0.061189,0.058448,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,4,32078,19475,58,0.060944,0.061637,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,5,31599,18434,75,0.060034,0.079702,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,6,31681,19455,54,0.060189,0.057386,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,7,32131,20097,49,0.061044,0.052072,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,8,32390,20171,46,0.061536,0.048884,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,9,32328,19704,40,0.061419,0.042508,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,10,32977,21270,114,0.062652,0.121148,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,11,32989,20234,49,0.062674,0.052072,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,12,33392,20985,39,0.063440,0.041445,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,13,33650,22043,117,0.063930,0.124336,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,14,34135,21753,43,0.064852,0.045696,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,15,33965,21400,54,0.064529,0.057386,526355,941,56090
awkhash,h16,h16/uniform-random-w0.05,0.050,16,34501,21421,46,0.065547,0.048884,526355,941,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,1,22946,16451,51,0.063165,0.056983,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,2,22784,14862,48,0.062720,0.053631,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,3,22281,13312,55,0.061335,0.061453,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,4,22182,13153,51,0.061062,0.056983,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,5,21953,12605,71,0.060432,0.079330,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,6,22011,13185,46,0.060592,0.051397,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,7,22292,13792,46,0.061365,0.051397,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,8,22385,13611,43,0.061621,0.048045,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,9,22374,13423,39,0.061591,0.043575,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,10,22852,14408,112,0.062907,0.125140,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,11,22697,13669,46,0.062480,0.051397,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,12,22982,14206,38,0.063265,0.042458,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,13,23313,15053,114,0.064176,0.127374,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,14,23364,14579,41,0.064316,0.045810,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,15,23282,14388,51,0.064090,0.056983,363268,895,56090
awkhash,h16,h16/uniform-random-w0.10,0.100,16,23570,14342,43,0.064883,0.048045,363268,895,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,1,14054,10023,51,0.063193,0.066929,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,2,13881,8954,42,0.062415,0.055118,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,3,13724,8169,44,0.061709,0.057743,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,4,13560,7917,39,0.060972,0.051181,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,5,13531,7724,50,0.060842,0.065617,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,6,13572,8002,42,0.061026,0.055118,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,7,13733,8436,29,0.061750,0.038058,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,8,13719,8184,38,0.061687,0.049869,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,9,13749,8158,35,0.061822,0.045932,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,10,14055,8680,91,0.063198,0.119423,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,11,13874,8266,44,0.062384,0.057743,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,12,14026,8543,36,0.063067,0.047244,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,13,14257,9036,92,0.064106,0.120735,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,14,14216,8704,40,0.063922,0.052493,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,15,14106,8581,47,0.063427,0.061680,222397,762,56090
awkhash,h16,h16/uniform-random-w0.25,0.250,16,14340,8587,42,0.064479,0.055118,222397,762,56090
awkhash,h16,h16/pooled-w0.05,0.050,1,5206,3700,129,0.063327,0.061370,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,2,5072,3622,137,0.061697,0.065176,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,3,5074,3538,127,0.061721,0.060419,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,4,5234,3672,138,0.063668,0.065652,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,5,5256,3708,133,0.063935,0.063273,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,6,5174,3595,116,0.062938,0.055186,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,7,5064,3638,144,0.061600,0.068506,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,8,5186,3656,149,0.063084,0.070885,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,9,5113,3663,145,0.062196,0.068982,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,10,5129,3663,120,0.062391,0.057088,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,11,5146,3693,138,0.062597,0.065652,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,12,5012,3521,138,0.060967,0.065652,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,13,5201,3707,123,0.063266,0.058516,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,14,5115,3616,115,0.062220,0.054710,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,15,5120,3580,123,0.062281,0.058516,82208,2102,56090
awkhash,h16,h16/pooled-w0.05,0.050,16,5106,3590,127,0.062111,0.060419,82208,2102,56090
awkhash,h16,h16/pooled-w0.25,0.250,1,1847,1284,26,0.062956,0.059091,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,2,1813,1265,31,0.061797,0.070455,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,3,1794,1272,20,0.061149,0.045455,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,4,1909,1320,29,0.065069,0.065909,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,5,1847,1302,26,0.062956,0.059091,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,6,1790,1244,23,0.061013,0.052273,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,7,1797,1255,31,0.061252,0.070455,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,8,1844,1287,22,0.062854,0.050000,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,9,1821,1258,30,0.062070,0.068182,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,10,1871,1323,31,0.063774,0.070455,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,11,1866,1314,28,0.063604,0.063636,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,12,1837,1290,33,0.062615,0.075000,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,13,1822,1282,24,0.062104,0.054545,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,14,1852,1291,32,0.063126,0.072727,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,15,1800,1246,25,0.061354,0.056818,29338,440,56090
awkhash,h16,h16/pooled-w0.25,0.250,16,1828,1251,29,0.062308,0.065909,29338,440,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,1,73538,51263,834,0.138325,0.394699,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,2,52328,33558,180,0.098429,0.085187,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,3,43454,26154,77,0.081737,0.036441,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,4,39042,23336,129,0.073438,0.061051,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,5,35960,21165,173,0.067641,0.081874,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,6,32505,20706,16,0.061142,0.007572,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,7,30682,19804,81,0.057713,0.038334,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,8,28803,18728,11,0.054178,0.005206,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,9,27496,17544,33,0.051720,0.015618,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,10,27841,18398,501,0.052369,0.237104,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,11,25179,16293,3,0.047362,0.001420,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,12,24421,16294,3,0.045936,0.001420,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,13,23907,16115,67,0.044969,0.031708,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,14,22819,15521,0,0.042922,0.000000,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,15,22121,14714,1,0.041610,0.000473,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.05,0.050,16,21537,14236,4,0.040511,0.001893,531633,2113,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,1,24947,17121,560,0.109264,0.338778,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,2,20521,12908,204,0.089879,0.123412,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,3,18120,10697,131,0.079363,0.079250,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,4,16439,9548,95,0.072000,0.057471,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,5,15247,8765,45,0.066780,0.027223,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,6,14520,8702,86,0.063596,0.052027,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,7,13583,8565,45,0.059492,0.027223,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,8,12922,7890,8,0.056597,0.004840,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,9,12516,7597,33,0.054818,0.019964,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,10,12652,7815,190,0.055414,0.114943,228318,1653,56090
